Path,Last commit date,Line,Matched phrase,Claim excerpt,Audit handling
.github/CI_CD_INTEGRATION.md,2025-12-10,7,implemented,## Implemented Components,Claim only — requires implementation/test evidence before verification
.github/CI_CD_INTEGRATION.md,2025-12-10,44,pass,- `0`: All checks passed,Claim only — requires implementation/test evidence before verification
.github/CI_CD_INTEGRATION.md,2025-12-10,224,pass,├─ Pass → ✅ Continue,Claim only — requires implementation/test evidence before verification
.github/CI_CD_INTEGRATION.md,2025-12-10,233,pass,├─ All Pass → ✅ Ready to merge,Claim only — requires implementation/test evidence before verification
.github/CI_CD_INTEGRATION.md,2025-12-10,260,complete,- **Quality Score:** 0-100 based on completeness and format,Claim only — requires implementation/test evidence before verification
.github/CI_CD_INTEGRATION.md,2025-12-10,360,pass,3. Verify all gates pass,Claim only — requires implementation/test evidence before verification
.github/CI_CD_INTEGRATION.md,2025-12-10,431,implemented,**Status:** ✅ Implemented and Tested,Claim only — requires implementation/test evidence before verification
.github/CONTRIBUTING.md,2026-01-02,182,final,final customerList = [];,Claim only — requires implementation/test evidence before verification
.github/CONTRIBUTING.md,2026-01-02,187,final,final CustomerList = [];,Claim only — requires implementation/test evidence before verification
.github/CONTRIBUTING.md,2026-01-02,204,final,/// final result = myFunction(param1);,Claim only — requires implementation/test evidence before verification
.github/CONTRIBUTING.md,2026-01-02,290,final,final username = 'test@example.com';,Claim only — requires implementation/test evidence before verification
.github/CONTRIBUTING.md,2026-01-02,291,final; pass,final password = 'redacted';,Claim only — requires implementation/test evidence before verification
.github/CONTRIBUTING.md,2026-01-02,294,final; pass,"final result = await authService.login(username, password);",Claim only — requires implementation/test evidence before verification
.github/CONTRIBUTING.md,2026-01-02,303,final,final username = 'test@example.com';,Claim only — requires implementation/test evidence before verification
.github/CONTRIBUTING.md,2026-01-02,304,final; pass,final password = 'wrong';,Claim only — requires implementation/test evidence before verification
.github/CONTRIBUTING.md,2026-01-02,307,final; pass,"final result = await authService.login(username, password);",Claim only — requires implementation/test evidence before verification
.github/ERROR_TRACKING_README.md,2025-12-29,84,100%,- **الاختبارات:** 174/174 (100% ✅),Claim only — requires implementation/test evidence before verification
.github/GITHUB_SETUP_GUIDE.md,2026-01-02,490,pass,✅ Restrن فقطللمسؤوليypass - b actors tocified spe: ✅ Allowأوtings,Claim only — requires implementation/test evidence before verification
.github/GITHUB_SETUP_GUIDE.md,2026-01-02,491,pass; passing,(ove set the ab bypassingDo not allownal),Claim only — requires implementation/test evidence before verification
.github/QUALITY_GATES.md,2025-12-24,13,complete,- Documentation completeness,Claim only — requires implementation/test evidence before verification
.github/QUALITY_GATES.md,2025-12-24,16,complete,- README and guides completeness,Claim only — requires implementation/test evidence before verification
