Kind,Key,Paths,Assessment
EXACT_NORMALIZED_CONTENT,1c30d78ca640bb4e,logs/reports/latest_report.md | logs/reports/quality_report_20260110_155129.md,Potential accidental duplicate; preserve until lineage and links are reviewed
EXACT_NORMALIZED_CONTENT,26c8f5ee90245d0b,.kiro/FINAL_STATUS.md | .kiro/docs/reports/FINAL_STATUS.md,Potential accidental duplicate; preserve until lineage and links are reviewed
EXACT_NORMALIZED_CONTENT,4ae200266e0ab629,.kiro/BLUEPRINT_STATUS.md | .kiro/docs/reports/BLUEPRINT_STATUS.md,Potential accidental duplicate; preserve until lineage and links are reviewed
EXACT_NORMALIZED_CONTENT,77c53cbc091c4e28,docs/archive/reports/2026-01/current_dependencies_status.json | docs/archive/reports/2026-01/dependencies_status_20260111.json | docs/outdated-dependencies.json,Potential accidental duplicate; preserve until lineage and links are reviewed
EXACT_NORMALIZED_CONTENT,ce87c18937cd5859,docs/archive/reports/2026-01/l10n_errors.txt | l10n_errors.txt,Potential accidental duplicate; preserve until lineage and links are reviewed
NORMALIZED_TITLE_COLLISION,basir quality report 20260110 155129,logs/reports/latest_report.md | logs/reports/quality_report_20260110_155129.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,data schema specification,.kiro/specs/active/basir_master_specification/03_DATA_SCHEMA.md | docs/specs/legacy_blueprint/03_Data_Schema_Specification.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,functional architecture specification,.kiro/specs/active/basir_master_specification/01_FUNCTIONAL_ARCHITECTURE.md | docs/specs/legacy_blueprint/01_Functional_Architecture.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,governing accounting standards framework,.kiro/specs/completed/accounting-standards-framework/design.md | .kiro/specs/completed/accounting-standards-framework/requirements.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,project level configuration,linux/CMakeLists.txt | windows/CMakeLists.txt,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,requirements document,.kiro/specs/archived/meta-work/repository-deep-cleanup/requirements.md | .kiro/specs/archived/meta-work/repository-excellence-framework/requirements.md | .kiro/specs/archived/superseded/comprehensive-improvement-plan/requirements.md | .kiro/specs/archived/superseded/git-strategy-erp-development/requirements.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,this file controls flutter level build steps it should not be edited,linux/flutter/CMakeLists.txt | windows/flutter/CMakeLists.txt,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,الحالة النهائية kiro strategic workspace,.kiro/FINAL_STATUS.md | .kiro/docs/reports/FINAL_STATUS.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,تفعيل kiro strategic workspace,.kiro/docs/reports/quality/BLUEPRINT_ACTIVATION.md | docs/reports/kiro/general/WORKSPACE_ACTIVATION.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,تقرير إصلاح اختبارات customerformscreen,.kiro/specs/archived/2025-completed/testing-system/CUSTOMER_FORM_TESTS_FIX_REPORT.md | docs/reports/kiro/general/CUSTOMER_FORM_TEST_FIX_REPORT.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,تقرير الاختبار اليدوي الشامل نظام بصير المحاسبي,docs/archive/reports/2026-01/comprehensive_manual_testing_report_20260112.md | docs/archive/reports/2026-01/manual_testing_report_20260111.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,تقرير تقييم الامتثال لمعايير kiro الرسمية,.kiro/specs/archived/meta-work/context-optimization/archive/COMPLIANCE_ASSESSMENT.md | .kiro/specs/archived/meta-work/context-optimization/archive/COMPLIANCE_ASSESSMENT_REPORT.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,تقرير تنظيف المستودع الشامل,.kiro/docs/reports/git/GIT_REPOSITORY_CLEANUP_REPORT.md | docs/reports/cleanup/REPOSITORY_CLEANUP_REPORT.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,تقرير تنظيم التوثيق والتقارير,docs/reports/DOCUMENTATION_ORGANIZATION_REPORT.md | docs/reports/cleanup/ORGANIZATION_REPORT.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,حالة kiro strategic workspace,.kiro/BLUEPRINT_STATUS.md | .kiro/docs/reports/BLUEPRINT_STATUS.md | .kiro/docs/reports/WORKSPACE_STATUS.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,حالة المشروع الحالية بصير mvp,docs/status/PROJECT_STATUS.md | docs/status/archive/CURRENT_PROJECT_STATUS.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
NORMALIZED_TITLE_COLLISION,فهرس التقارير مشروع بصير mvp,docs/reports/INDEX.md | docs/reports/kiro/README.md,"Potential reference/historical duplication; compare authority, scope, and date before action"
